Код артефакта;Наименование артефакта;Тип артефакта;Формат;Направление;Источник создания;В каких процессах участвует;В каких задачах участвует;Минимальные реквизиты
АРТ01.01.01;Заявление на заключение договора НПО;Входящий;PDF, DOCX, Бумага;Входящий от вкладчика;Вкладчик;ПРЦ01.01, ПРЦ01.02;ЗДЧ01.01.01 (вход);Номер заявления, дата подачи, ФИО вкладчика, паспортные данные, СНИЛС, ИНН, выбранная пенсионная схема, периодичность взносов, сумма взноса, подпись вкладчика
;;;;;;;ЗДЧ01.01.05 (вход);
;;;;;;;ЗДЧ01.02.06 (вход);
АРТ01.01.02;Пакет документов вкладчика;Входящий;PDF, DOCX, Бумага;Входящий от вкладчика;Вкладчик;ПРЦ01.01, ПРЦ01.02;ЗДЧ01.01.01 (вход);Копия паспорта (серия, номер, кем выдан, дата выдачи), СНИЛС, ИНН, банковские реквизиты для выплат
;;;;;;;ЗДЧ01.02.06 (вход);
АРТ01.01.03;Зарегистрированное заявление;Промежуточный;Документ 1С;Внутренний;ЗДЧ01.01.01;ПРЦ01.01;ЗДЧ01.01.01 (выход);Регистрационный номер, дата регистрации, способ подачи (лично/почта/электронно), ссылка на вкладчика, статус обработки, ответственный сотрудник
;;;;;;;ЗДЧ01.01.02 (вход);
АРТ01.01.04;Регистрационная карточка в журнале входящих документов;Промежуточный;Регистр 1С;Внутренний;ЗДЧ01.01.01;ПРЦ01.01;ЗДЧ01.01.01 (выход);Номер записи, дата регистрации, тип документа, номер документа, отправитель, получатель, краткое содержание, статус обработки
АРТ01.01.05;Справочник вкладчиков НПФ;Промежуточный;Справочник 1С;Внутренний;ЗДЧ01.01.04;ПРЦ01.01;ЗДЧ01.01.02 (вход);ID вкладчика, ФИО, дата рождения, СНИЛС, ИНН, паспортные данные, адреса, контактная информация, банковские реквизиты, дата создания, статус
;;;;;;;ЗДЧ01.01.04 (вход);
АРТ01.01.06;База СНИЛС;Промежуточный;Регистр 1С;Внутренний;Внешняя система ПФР;ПРЦ01.01;ЗДЧ01.01.02 (вход);СНИЛС, ФИО, дата рождения, статус (действующий/недействующий), дата последней актуализации
АРТ01.01.07;Протокол проверки персональных данных;Промежуточный;Документ 1С;Внутренний;ЗДЧ01.01.02;ПРЦ01.01;ЗДЧ01.01.02 (выход);Номер протокола, дата проверки, ФИО проверяемого, СНИЛС, результат проверки СНИЛС, результат проверки ИНН, результат проверки паспорта, выявленные дубликаты, итоговый статус (принято/отклонено), причины отклонения
;;;;;;;ЗДЧ01.01.03 (вход);
АРТ01.01.08;Реестр дисквалифицированных лиц;Промежуточный;Регистр 1С;Внутренний;Внешняя система ФНС;ПРЦ01.01;ЗДЧ01.01.03 (вход);ФИО, дата рождения, ИНН, основание дисквалификации, дата начала ограничения, дата окончания ограничения, статус
АРТ01.01.09;Протокол правовой проверки;Промежуточный;Документ 1С;Внутренний;ЗДЧ01.01.03;ПРЦ01.01;ЗДЧ01.01.03 (выход);Номер протокола, дата проверки, ФИО вкладчика, возраст, результат проверки дееспособности, результат проверки паспорта, результат проверки в реестре дисквалификации, заключение о правоспособности (одобрено/отклонено), причины отклонения
;;;;;;;ЗДЧ01.01.04 (вход);
АРТ01.01.10;Карточка вкладчика в справочнике 1С;Промежуточный;Справочник 1С;Внутренний;ЗДЧ01.01.04;ПРЦ01.01, ПРЦ01.02, ПРЦ01.03;ЗДЧ01.01.04 (выход);ID вкладчика, ФИО, дата рождения, СНИЛС, ИНН, серия и номер паспорта, адрес регистрации, фактический адрес, телефон, email, банковские реквизиты, дата создания карточки, статус (действующий)
;;;;;;;ЗДЧ01.01.05 (вход);
;;;;;;;ЗДЧ01.02.01 (вход);
;;;;;;;ЗДЧ01.02.02 (вход);
;;;;;;;ЗДЧ01.03.01 (вход);
;;;;;;;ЗДЧ01.03.03 (вход);
АРТ01.01.11;Справочник пенсионных схем НПФ;Промежуточный;Справочник 1С;Внутренний;Справочник НПФ;ПРЦ01.01;ЗДЧ01.01.05 (вход);Код схемы, наименование схемы, тип схемы (пожизненная/срочная), минимальный размер взноса, периодичность взносов, минимальный срок накопления, условия выплат, процент участия в инвестдоходе, особые условия, статус (действующая)
