Код процесса;Процесс;Код задачи;Задача;Вход;Выход;Суть задачи;Источник
ПРЦ08.01;Прием заявления правопреемников;ЗДЧ08.01.01;Регистрация обращения правопреемника;Заявление правопреемника (от заявителя);Зарегистрированное обращение в 1С;Регистрация входящего обращения правопреемника в системе 1С с присвоением уникального регистрационного номера и даты. Создание электронной карточки обращения с привязкой к умершему участнику. Реквизиты: номер обращения, дата регистрации, ФИО заявителя, ФИО умершего участника, дата смерти, степень родства;"ФЗ-75 ст.36.37; Редакция №1 п.11; Редакция №7 п.11"
;;;;Документы, подтверждающие родство;Входящий регистрационный номер;;
;;;;Свидетельство о смерти участника;;;
ПРЦ08.01;Прием заявления правопреемников;ЗДЧ08.01.02;Проверка комплектности документов;Зарегистрированное обращение;Протокол проверки документов;Проверка предоставленного пакета документов на соответствие установленному перечню. Контроль наличия: заявления установленной формы, паспорта правопреемника, свидетельства о смерти участника, документов о родстве, нотариальных доверенностей (при необходимости). Реквизиты: перечень документов, статус проверки, дата проверки, ответственный сотрудник;"ФЗ-75 ст.36.37; Редакция №1 п.11; Закон 81-ОЗ ст.10"
;;;;Пакет документов правопреемника;Перечень недостающих документов;;
;;;;Реестр требуемых документов;;;
ПРЦ08.01;Прием заявления правопреемников;ЗДЧ08.01.03;Идентификация умершего участника;Данные из заявления;Карточка умершего участника;Поиск и идентификация умершего участника в базе НПФ по СНИЛС, ФИО, дате рождения. Проверка статуса пенсионного счета на дату смерти, наличия активного договора НПО, остатка средств на счете. Фиксация даты смерти в карточке участника. Реквизиты: СНИЛС умершего, ФИО, дата рождения, номер договора НПО, номер ИПС, остаток средств, дата смерти;"ФЗ-75 ст.36.37; Редакция №1 п.11"
;;;;База участников НПФ;Статус ИПС на дату смерти;;
;;;;Данные ПФР (при необходимости);;;
ПРЦ08.01;Прием заявления правопреемников;ЗДЧ08.01.04;Проверка права на правопреемство;Карточка умершего участника;Заключение о наличии права правопреемства;"Юридическая проверка права заявителя на правопреемство согласно установленной очередности: первая очередь - супруг(а), дети, родители; вторая очередь - братья, сестры, бабушки, дедушки, внуки. Проверка условий договора НПО на предмет наличия распоряжения участника о правопреемниках. Реквизиты: степень родства, очередность, наличие распоряжения участника, статус права";"ФЗ-75 ст.36.37; Закон 81-ОЗ ст.10"
;;;;Документы о родстве;Очередность правопреемников;;
;;;;Условия договора НПО;;;
ПРЦ08.01;Прием заявления правопреемников;ЗДЧ08.01.05;Формирование реестра правопреемников;Заключение о праве правопреемства;Реестр правопреемников по умершему участнику;Формирование сводного реестра всех правопреемников, обратившихся по данному умершему участнику. Группировка по очередям правопреемства. Контроль сроков обращения (6 месяцев со дня смерти для первичных обращений). Реквизиты: ФИО правопреемника, СНИЛС, степень родства, очередность, дата обращения, статус документов;"Редакция №1 п.11; Редакция №7 п.11"
;;;;Данные всех обратившихся правопреемников;Статус обращений;;
ПРЦ08.01;Прием заявления правопреемников;ЗДЧ08.01.06;Принятие решения о правопреемстве;Реестр правопреемников;Решение о признании права правопреемства;Принятие решения о признании либо об отказе в признании права на получение средств пенсионных накоплений умершего участника. Подготовка официального уведомления с указанием оснований решения. Реквизиты: номер решения, дата, основание решения, список правопреемников, сумма к выплате, срок выплаты;"ФЗ-75 ст.36.37; Редакция №1 п.11; Редакция №7 п.11"
;;;;Протоколы проверок;Уведомление правопреемникам;;
;;;;Остаток средств на ИПС;;;
ПРЦ08.01;Прием заявления правопреемников;ЗДЧ08.01.07;Уведомление правопреемников о решении;Решение о правопреемстве;Исходящее уведомление правопреемникам;Направление официального уведомления правопреемникам о принятом решении с указанием суммы, порядка и срока выплаты либо с обоснованием отказа. Регистрация исходящей корреспонденции. Реквизиты: номер исходящего, дата отправки, способ доставки (почта/личное вручение), адрес правопреемника, содержание уведомления;"Редакция №1 п.11; Редакция №7 п.11"
;;;;Контактные данные правопреемников;Подтверждение отправки;;
ПРЦ08.02;Расчет долей правопреемников;ЗДЧ08.02.01;Определение базы для расчета;Остаток средств на ИПС умершего;База для расчета правопреемства;Определение общей суммы средств пенсионных накоплений, подлежащей выплате правопреемникам, на дату смерти участника. Исключение уже произведенных выплат. Расчет инвестиционного дохода до даты смерти. Реквизиты: остаток средств на ИПС, сумма взносов, инвестиционный доход, уплаченные комиссии, произведенные выплаты, итоговая база для правопреемства;"ФЗ-75 ст.36.37; Редакция №1 п.11.2; Редакция №7 п.11.2"
;;;;История взносов и выплат;Структура средств на ИПС;;
;;;;Дата смерти участника;;;
ПРЦ08.02;Расчет долей правопреемников;ЗДЧ08.02.02;Распределение средств между правопреемниками;База для расчета правопреемства;Расчет долей правопреемников;Распределение средств между правопреемниками в соответствии с распоряжением участника (если имеется) или в равных долях между правопреемниками одной очереди. Учет очередности правопреемства при отсутствии правопреемников первой очереди. Реквизиты: количество правопреемников, доля каждого, сумма к выплате каждому, основание распределения (распоряжение/закон);"Редакция №1 п.11.2; Редакция №6 п.11.2; Редакция №7 п.11.2; Закон 81-ОЗ ст.10"
;;;;Реестр правопреемников;Индивидуальные суммы выплат;;
;;;;Распоряжение участника (при наличии);;;
ПРЦ08.02;Расчет долей правопреемников;ЗДЧ08.02.03;Расчет налогов и удержаний;Индивидуальные суммы выплат;Расчет НДФЛ;Расчет налоговых обязательств с сумм правопреемства в соответствии с НК РФ. Определение налоговой базы, применимых вычетов, ставки налога. Расчет итоговой суммы к выплате после удержания налогов. Реквизиты: налоговая база, ставка НДФЛ, сумма налога, сумма к выплате на руки, основание применения ставки;"НК РФ ст.213; Редакция №1 п.11.2"
;;;;Налоговое законодательство;Сумма к выплате после налогов;;
;;;;Период участия в НПФ;;;
ПРЦ08.02;Расчет долей правопреемников;ЗДЧ08.02.04;Формирование расчетных документов;Расчет долей и налогов;Расчетный документ по правопреемству;"Создание в системе 1С документа ""Расчет по правопреемству"" с детализацией по каждому правопреемнику. Формирование бухгалтерских проводок по выбытию средств с пенсионных резервов. Реквизиты: номер расчета, дата, ФИО умершего, номер ИПС, список правопреемников с долями и суммами, общая сумма к выплате";"Редакция №1 п.11.2; Редакция №7 п.11.2"
;;;;Реквизиты правопреемников;Справка о расчете;;
ПРЦ08.02;Расчет долей правопреемников;ЗДЧ08.02.05;Согласование расчетов;Расчетный документ;Согласованный расчет;Проверка и согласование расчетов правопреемства с бухгалтерией, юридическим отделом, финансовой службой. Контроль соответствия расчетов нормативным требованиям и условиям договора НПО. Реквизиты: этапы согласования, ответственные лица, даты визирования, замечания (при наличии), статус согласования;"Редакция №1 п.11.2; Редакция №7 п.11.2"
;;;;Первичные документы правопреемства;Визы ответственных лиц;;
ПРЦ08.03;Выплата средств правопреемникам;ЗДЧ08.03.01;Формирование реестра выплат правопреемникам;Согласованный расчет;Реестр выплат правопреемникам;Формирование сводного реестра выплат правопреемникам с указанием способа выплаты (банковский перевод, почтовый перевод, через кассу НПФ). Подготовка платежных поручений или иных платежных документов. Реквизиты: номер реестра, дата, список правопреемников, суммы выплат, реквизиты получателей, способ выплаты, срок выплаты;"Редакция №1 п.11.3; Редакция №6 п.11.3; Редакция №7 п.11.3"
;;;;Реквизиты для выплат;Платежные документы;;
;;;;График выплат;;;
