Категория;Описание;Нормативный источник;Временное ограничение;Номер задачи;Номер артефакта
УСЛОВИЯ;Наличие факта смерти участника НПФ, подтвержденного свидетельством о смерти;"ФЗ-75 ст.36.37; Редакция №1 п.11";-;ЗДЧ08.01.01;АРТ08.01.03
УСЛОВИЯ;Наличие активного договора НПО на момент смерти участника;"ФЗ-75 ст.36.37; Редакция №1 п.11";-;ЗДЧ08.01.03;АРТ08.01.13
УСЛОВИЯ;Наличие положительного остатка средств на пенсионном счете умершего;ФЗ-75 ст.36.37;-;ЗДЧ08.01.03, ЗДЧ08.02.01;АРТ08.01.14, АРТ08.01.22
УСЛОВИЯ;Предоставление полного комплекта документов правопреемником согласно установленному перечню;"Редакция №1 п.11; Закон 81-ОЗ ст.10";-;ЗДЧ08.01.02;АРТ08.01.06, АРТ08.01.07
УСЛОВИЯ;Подтверждение родственной связи между правопреемником и умершим участником;"ФЗ-75 ст.36.37; Закон 81-ОЗ ст.10";-;ЗДЧ08.01.04;АРТ08.01.02
УСЛОВИЯ;Соблюдение срока обращения правопреемника (6 месяцев со дня смерти для первичных обращений);Закон 81-ОЗ ст.10;? 6 месяцев;ЗДЧ08.01.05;АРТ08.01.19
УСЛОВИЯ;Наличие всех необходимых реквизитов для выплаты средств правопреемнику;Редакция №1 п.11.3;-;ЗДЧ08.03.01;АРТ08.03.01, АРТ08.02.12
УСЛОВИЯ;Достаточность средств на расчетном счете НПФ для перечисления выплат правопреемникам;Постановление 344-П п.24;-;ЗДЧ08.03.02;АРТ08.03.05
ПРАВИЛА;Регистрация обращения правопреемника с присвоением уникального входящего номера;"Редакция №1 п.11; Редакция №7 п.11";Постоянно;ЗДЧ08.01.01;АРТ08.01.04, АРТ08.01.05
ПРАВИЛА;Проверка комплектности документов в соответствии с утвержденным реестром требуемых документов;Редакция №1 п.11;Постоянно;ЗДЧ08.01.02;АРТ08.01.07, АРТ08.01.08
ПРАВИЛА;Идентификация умершего участника по СНИЛС, ФИО и дате рождения в базе НПФ;ФЗ-75 ст.36.37;Постоянно;ЗДЧ08.01.03;АРТ08.01.11, АРТ08.01.13
ПРАВИЛА;Фиксация даты смерти в карточке участника и блокировка операций по счету;Редакция №1 п.11;Постоянно;ЗДЧ08.01.03;АРТ08.01.13
ПРАВИЛА;Проверка права на правопреемство в соответствии с очередностью: 1-я очередь (супруг, дети, родители), 2-я очередь (братья, сестры, бабушки, дедушки, внуки);"ФЗ-75 ст.36.37; Закон 81-ОЗ ст.10";Постоянно;ЗДЧ08.01.04;АРТ08.01.16, АРТ08.01.17
